ticker,yearreport,lengthreport,net_profit/loss_before_tax,depreciation_and_amortisation,provision_for_credit_losses,unrealized_foreign_exchange_gain/loss,profit/loss_from_disposal_of_fixed_assets,profit/loss_from_investing_activities,interest_expense,interest_income_and_dividends,operating_profit_before_changes_in_working_capital,increase/decrease_in_receivables,increase/decrease_in_inventories,increase/decrease_in_payables,increase/decrease_in_prepaid_expenses,interest_paid,business_income_tax_paid,other_receipts_from_operating_activities,other_payments_on_operating_activities,net_cash_inflows/outflows_from_operating_activities,purchase_of_fixed_assets,proceeds_from_disposal_of_fixed_assets,"loans_granted,_purchases_of_debt_instruments_(bn._vnd)","collection_of_loans,_proceeds_from_sales_of_debts_instruments_(bn._vnd)",investment_in_other_entities,proceeds_from_divestment_in_other_entities,gain_on_dividend,net_cash_flows_from_investing_activities,increase_in_charter_captial,payments_for_share_repurchases,proceeds_from_borrowings,repayment_of_borrowings,dividends_paid,cash_flows_from_financial_activities,net_increase/decrease_in_cash_and_cash_equivalents,cash_and_cash_equivalents,foreign_exchange_differences_adjustment,cash_and_cash_equivalents_at_the_end_of_period
VNM,2015,3,2553778018374,276279699878,-2326598340,4070666998,0,-133072431101,7823572163,0,2706552927972,46092094373,104484498560,283014730199,3517086155,-6933611285,-505175219378,-22765700000,-153058969212,2578554111239,-286419670818,12665980902,212862360672,440826441325,-80161500899,3532122500,161224879154,464530612836,22320014037,0,1745095032790,-1237171192396,-4000474416000,-3470230561569,-427145837494,1854221704170,-17218443431,1409857423245
VNM,2015,2,2622484714956,271404668281,-7110705898,1712378954,0,-168426171453,6783629838,0,2726848514678,-18923403981,63761443246,-7743119813,-19321562854,-6253423958,-345113069246,0,-93588930597,2300992832381,-369439681479,10561319038,631251751997,0,20982476,1527061268,33639943837,307561377137,84371992908,0,1306014281986,-1365990956702,-2000237208000,-1975841889808,632712319710,1227505962892,-5996578432,1854221704170
VNM,2015,1,1905065650592,266697914650,9730802015,21503375,0,-120953311467,8131520374,0,2068694079539,-82027954407,-479008754986,340520121347,64253223010,-9841219741,-422400933527,22765700000,-314040254076,1188914007159,-212491480427,28530489589,-1034114112669,0,-20982476,0,94718653758,-1123377432225,0,0,0,-363166758519,0,-363166758519,-297630183585,1527875428216,-2739281739,1227505962892
VNM,2014,4,2176921311427,263064953718,-3640165104,9183282297,0,-137459574325,9075994158,0,2317145802171,-284555594237,-140172757190,126060617090,-55343121010,-7675427249,-383310768661,45152745658,-73105950595,1544195545977,-288398582496,13733258951,-550420667523,0,-2011694925,17213461471,133048456472,-676835768050,168684341,0,-3666195544,-6438074389,-488201,-9936073793,857423704134,670329547281,122176801,1527875428216
VNM,2014,3,1723121792874,261083845708,2936371849,-13342408990,-6234942158,-368448360666,7423763901,248292374936,1854832437454,-283428430610,700224588589,-547820013811,19356738147,-3941104832,-448978208152,0,-144373533102,1145872473683,-281081876600,13504052453,-3000096000000,1801892101394,86728260,-86515208,129387586257,-1336393923444,68951103287,0,1241880467897,-1419835457,-1666867855129,-357456119402,-547977569163,1219936043702,-1628927258,670329547281
VNM,2014,2,1969970340278,256700612080,11181881075,-2385211951,6234942158,104577152258,12410656942,-248292374936,2110397997904,209752272202,-491003751413,296947233045,-4082278741,-12454117049,-319907772294,966420000,-6432953215,1784183050439,-121134383337,23949522845,1500000000000,-1796596000000,-572351069,498622064,279474544120,-114380045377,1301716303,-75788000,240956160318,-220059210062,-1666874642000,-1644751763441,25051241621,1193310867797,1573934284,1219936043702
VNM,2014,1,1743355416339,251880590533,-6691497143,-1860468523,0,-126621935996,10671322757,0,1870733427967,227802236917,-614365683108,84031617046,45574782583,-10671322757,-369710651438,0,-379321936739,854072470471,-168331439284,2707450005,-1600000000000,0,-175474400,2122893144,18568820979,-1745107749556,0,-243814000,11804394842,-5966180000,-666771088800,-661176687958,-1552211967043,2745645325950,-122491110,1193310867797
VNM,2013,4,1839575616385,234338576859,10212988650,1846201913,0,-126202558548,104027048,0,1959874852307,16245370232,13030704982,288107196577,-19647393735,-104027048,-381435472567,15000000,-30564397414,1845521833334,-413858030707,5168055655,-350000000000,50000000000,-124805693826,0,49247453259,-784248215619,0,-114858000,0,0,0,-114858000,1061158759715,1684436360678,50205557,2745645325950
VNM,2013,3,2056207979291,217046141830,2077386476,14811246488,1490563589,-17686524438,0,-104497829984,2169448963252,-100854666397,620615866424,-35627466875,11983677151,0,-440417416152,19271912000,-158618310985,2085802558418,-471825503988,3483548063,850000000000,2195381059,0,3127205437,68012306772,454992937343,0,-129847000,0,0,-1666951482000,-1667081329000,873714166761,812485229333,-1763035416,1684436360678
VNM,2013,2,2246550550556,181791307800,8209589727,7175018431,338734177,71212152937,0,-191907183590,2323370170038,-120146434803,-129679584301,-40213526678,-17971820185,0,-314240265642,1695349520,-135320934589,1567492953360,-251080359470,9047347728,-1073100000000,270000000000,0,31800000000,122196131313,-891136880429,0,-175398959,0,0,-1500283567800,-1500458966759,-824102893828,1633381902213,3206220948,812485229333
VNM,2013,1,1867922710487,153256896661,7318993345,-10767841818,0,-74019283699,0,0,1943711474976,-60152113353,-314325531999,-240792526573,-15625082924,0,-263889132445,2652000,-367188520297,681741219385,-353936443223,3292438182,-50000000000,32336515321,0,0,70095213874,-298212275846,0,-105339000,0,0,0,-105339000,383423604539,1252120160804,-2161863130,1633381902213
