ticker,yearreport,lengthreport,net_profit/loss_before_tax,depreciation_and_amortisation,provision_for_credit_losses,unrealized_foreign_exchange_gain/loss,profit/loss_from_investing_activities,interest_expense,interest_income_and_dividends,operating_profit_before_changes_in_working_capital,increase/decrease_in_receivables,increase/decrease_in_inventories,increase/decrease_in_payables,increase/decrease_in_prepaid_expenses,interest_paid,business_income_tax_paid,other_receipts_from_operating_activities,other_payments_on_operating_activities,net_cash_inflows/outflows_from_operating_activities,purchase_of_fixed_assets,proceeds_from_disposal_of_fixed_assets,"loans_granted,_purchases_of_debt_instruments_(bn._vnd)","collection_of_loans,_proceeds_from_sales_of_debts_instruments_(bn._vnd)",investment_in_other_entities,proceeds_from_divestment_in_other_entities,gain_on_dividend,net_cash_flows_from_investing_activities,increase_in_charter_captial,payments_for_share_repurchases,proceeds_from_borrowings,repayment_of_borrowings,finance_lease_principal_payments,dividends_paid,cash_flows_from_financial_activities,net_increase/decrease_in_cash_and_cash_equivalents,cash_and_cash_equivalents,foreign_exchange_differences_adjustment,cash_and_cash_equivalents_at_the_end_of_period
HPG,2022,4,-2078547921756,1722687479263,341386215259,-1153484051152,-433785906879,932651987764,0,-669092197501,2263542077184,9068509515894,-3825851459148,-57006802391,-932734695711,-387867697352,0,-19904558293,5439594182682,-3787933631685,2310679826,-7221150335894,8592702929212,-371644175956,0,428988486177,-2356726048320,2250000000,0,20090198575763,-26729017842245,0,6867415088,-6629701851394,-3546833717032,11881408346665,-9985709406,8324588920227
HPG,2022,3,-1299955296196,1736975580676,137493426199,546820352732,-483634913465,836700531276,0,1471405681222,3761408428487,14893476334949,-15025441161545,259795335259,-797610374903,-299804203,0,-105134288761,4457600150505,-4411237849191,693243676,-18170530825728,16474113153471,0,0,507616445745,-5599345832027,0,0,30844142246599,-35929148438674,0,-2241486887074,-7326493079149,-8468238760671,20325198022112,24449085224,11881408346665
HPG,2022,2,4379340489328,1677130524495,593032893735,643248114558,47163693950,717352725484,0,8060262441550,-1966756554929,-18097014411925,7164279474800,-126209000614,-713566675256,-274728798738,0,-138671731563,-6092405256675,-3740134869390,6530260130,-10795594944261,12607471335560,0,0,-142312810971,-2064041028932,1300000000,0,49521669195301,-40072417413636,0,-3265243694,9447286537971,1290840252364,19060014590301,-25656820553,20325198022112
HPG,2022,1,8922103855907,1677611364569,-59950204308,150783920541,-951283456248,596932887294,0,10336198367755,665168430681,2157183286223,-2993606607312,-95129210608,-590981613068,-578723718398,0,-513100948690,8387007986583,-6026975731178,4117528200,-19318517776498,9738241951928,0,0,911474085424,-14691659942124,525000000,0,34800675129353,-31899973544079,0,-9489245406,2891737339868,-3412914615673,22471375562130,1553643844,19060014590301
HPG,2021,4,8038356261876,1566782572400,187032358552,258423817835,-5441110827,629506996556,0,10674660896392,3442217701358,3613321745493,-386836884300,-355772858060,-643452188645,-1964575046074,0,-208158469367,14171404896797,-4326244042568,33337740164,-9540866742500,12763595869520,0,0,29174461735,-1041002713649,1300000000,0,32283420282683,-36295469189503,0,-24515647431,-4035264554251,9095137628897,13376486099355,-248166122,22471375562130
HPG,2021,3,10978756069697,1557450246725,1233182111,-209979223465,-310183817801,675107905208,0,12689390362475,-4673747018000,-6269003879894,-959546992745,-88497371785,-676491835696,-136626961921,0,-47611113527,-162134811093,-2394064632437,22467916217,-12798301968208,8560809135918,0,0,309959249655,-6299130298855,6200000000,0,33643984837211,-28439823546968,0,-1550442909,5208810847334,-1252454262614,14644183731657,-15243369688,13376486099355
HPG,2021,2,10349452188126,1507505865787,-33730842823,-4008223308,-312132259952,599661392906,0,12109742120736,1556222812501,-12331373344340,11316582903533,16860686697,-625991809706,-138010433465,0,-40495890692,11863537045264,-3996355629739,7970290465,-10950565099870,4718629665828,0,0,198577255944,-10021743517372,0,0,28538845159800,-28079986938828,0,-1670953710220,-1212095489248,629698038644,14018629193714,-4143500701,14644183731657
HPG,2021,1,7690213194491,1454908359540,28321364644,-2552250936,-722585925436,621546963567,0,9069851705870,-3364015325784,-1849087719759,-758802388718,-52531887685,-638893494939,-494678519443,0,-318492238077,1593350131465,-1399236188679,1780127545,-7952254523391,5213877851025,0,827030264967,266641688553,-3042160779980,3130000000,0,30267142223530,-28495551029999,0,-6724946432,1767996247099,319185598584,13696099298228,3344296902,14018629193714
HPG,2020,4,5330249297734,1386472041189,-9703574796,-9996456364,-202814191600,662031175138,0,7156238291301,-635727619676,-5473842806342,771033329096,-138333751178,-633221134958,-972954380399,0,-21735058073,51456869771,-1546069161409,8456445735,-2910381996977,2710758549569,0,0,158312624548,-1578923538534,300000000,0,24246371804094,-15335976761188,0,-13435338013,8897259704893,7369793036130,5628548667015,2660069381,13001001772526
HPG,2020,3,4271871636028,1181347918547,4036719741,42845968449,-141011034467,540809441828,0,5899900650126,-1913396601976,131486017669,-374458836488,43273301700,-519408535848,-267654874402,0,-24046981942,2975694138839,-1898885081877,1163951886,-5112617752800,906347252521,0,0,75285548504,-6028706081766,2400000000,0,22818192138710,-20236380816626,0,-1393099337621,1191111984463,-1861899958464,7489589626409,858999070,5628548667015
